Device_id,Distance1,Device_id1,Distance2,Device_id2,Distance3,Device_id3
aa-59-38-34,0.0,aa-22-21-95,0.0,aa-59-38-70,0.0203023141733259,00-0b-14-14
aa-31-90-35,0.0011735439707821,aa-87-26-09,0.0016693490884455,00-33-2c-0a,0.0018385657035714,aa-22-16-93
aa-22-21-95,0.0,aa-59-38-70,0.0203023141733259,00-0b-14-14,0.0682747833326784,00-12-08-11
aa-59-38-04,0.4542077269453687,aa-59-38-70,0.4744915197215947,00-0b-14-14,0.5118215298234521,00-12-08-11
aa-31-90-62,0.0,00-30-12-1c,0.0002272875259519,aa-59-38-25,0.000597555221593,00-31-2c-1a
aa-59-38-70,0.0203023141733259,00-0b-14-14,0.0682747833326784,00-12-08-11,1.2016587554734344,aa-31-90-85
00-30-12-1c,0.0002194989416022,aa-59-38-25,0.0005707483978631,00-31-2c-1a,0.0019255889887249,aa-22-16-93
00-12-06-18,0.0081710905771255,00-8b-10-1e,0.0108084921358749,aa-59-38-35,0.0127053266872314,00-9d-0f-06
aa-31-90-23,0.0004487839054048,aa-59-38-29,0.0030301527621724,aa-22-17-35,0.0042206641022505,00-26-0f-04
00-26-0f-04,0.0018841193454131,aa-22-17-35,0.0043751146806526,aa-59-38-29,4.2433287492052525,aa-59-38-25
aa-59-38-29,0.0033405797087599,aa-22-17-35,4.239847367061379,aa-59-38-25,4.240256309033812,00-31-2c-1a
aa-22-17-35,4.243095613362984,aa-59-38-25,4.24350462258555,00-31-2c-1a,4.244656168186114,aa-31-90-85
00-31-2c-1a,0.0005470832840279,aa-59-38-25,0.0014383120847126,aa-22-16-93,0.0016451475156717,aa-31-90-85
aa-22-17-10,0.0,aa-59-38-31,0.0,aa-59-37-98,0.0,aa-31-90-47
aa-59-38-31,0.0,aa-59-37-98,0.0,aa-31-90-47,0.0,aa-31-90-26
00-9d-0f-06,0.0034437647655971,aa-59-38-35,0.0050683000477193,00-8b-10-1e,0.0078248889016187,00-9d-0f-01
00-9d-0f-01,0.0067478475395256,aa-59-38-35,0.00918918837895,00-8b-10-1e,11.821372884019386,aa-87-26-09
00-8b-10-1e,0.0026462536968221,aa-59-38-35,11.821531816459238,aa-87-26-09,11.823830785667155,00-27-0e-0c
aa-59-37-98,0.0,aa-31-90-47,0.0,aa-31-90-26,0.0,aa-31-90-88
aa-59-38-25,0.0017797886069642,aa-22-16-93,0.0021927070594114,aa-31-90-85,0.0024058114077657,00-33-2c-0a
aa-31-90-85,0.0014980585864862,00-33-2c-0a,0.0016302265233917,aa-22-16-93,0.002086366557321,00-27-0e-0c
00-33-2c-0a,0.0007127803426746,aa-22-16-93,0.0013821827176358,00-27-0e-0c,0.0027950896697792,aa-87-26-09
00-27-0e-0c,0.0020939415695199,aa-22-16-93,0.0032492271081286,aa-87-26-09,1.1401468723457269,00-12-08-11
aa-87-26-09,0.0028053866302854,aa-22-16-93,1.1433145607380717,00-12-08-11,1.1849758574875653,00-0b-14-14
aa-22-16-93,1.141607592480709,00-12-08-11,1.1833338357398977,00-0b-14-14,11.825154273478478,aa-59-38-35
aa-bb-11-22,249.08474701953443,aa-31-90-47,249.08474701953443,aa-31-90-26,249.08474701953443,aa-31-90-88
00-0d-08-12,18.140440002843764,aa-59-37-97,22.50080338398004,aa-31-90-55,23.592647102163397,aa-59-38-46
aa-31-91-74,119.09566696164458,aa-31-90-28,119.1581989110719,aa-27-84-45,120.11627541950332,aa-22-16-68
00-0b-14-14,0.053527843683399,00-12-08-11,12.466287194492631,aa-59-38-35,48.29808910927358,aa-31-91-90
aa-31-90-47,0.0,aa-31-90-26,0.0,aa-31-90-88,0.0,aa-59-38-12
00-12-08-11,12.469054985104362,aa-59-38-35,48.351190123740174,aa-31-91-90,48.36193623469635,00-22-2f-18
aa-31-90-45,0.8213269985071173,aa-22-21-85,1.3658691054942649,aa-59-38-44,1.4070014914233326,aa-87-26-07
aa-31-90-78,0.8921401415665987,aa-59-38-53,1.140259545408223,aa-59-37-96,1.1735741073060098,aa-31-90-48
aa-59-38-26,0.4803291336131448,aa-59-38-17,0.6417022042167145,aa-59-38-47,1.2838007777010576,aa-59-38-36
